org_a,locus_a,org_b,locus_b,identity
abaylyi,ACIAD0883,ccrescentus,CCNA_03305,0.605
abaylyi,ACIAD0883,mtuberculosis,Rv0683,0.544
abaylyi,ACIAD0883,mpne,MPN226,0.462
abaylyi,ACIAD0917,styphimurium,sbcD,0.313
abaylyi,ACIAD1685,styphimurium,STM2812,0.394
saureus,SA0551,styphimurium,STM0564,0.507
abaylyi,ACIAD2882,styphimurium,sdhC,0.438
mtuberculosis,Rv0984,styphimurium,moaB,0.307
abaylyi,ACIAD3005,styphimurium,hflX,0.552
abaylyi,ACIAD0651,ccrescentus,CCNA_03006,0.332
ccrescentus,CCNA_03006,styphimurium,nadA,0.334
abaylyi,ACIAD0474,saureus,truA,0.341
ccrescentus,CCNA_00280,saureus,truA,0.315
mpne,MPN196,saureus,truA,0.309
saureus,SA2109,styphimurium,yifK,0.602
ccrescentus,CCNA_00376,styphimurium,yfcA,0.463
saureus,SA1536,styphimurium,yfcA,0.329
abaylyi,ACIAD2431,styphimurium,rpsR,0.786
abaylyi,ACIAD2431,mtuberculosis,Rv0055,0.476
abaylyi,ACIAD2431,mpne,MPN230,0.436
abaylyi,ACIAD2431,mgenitalium,MG_092,0.441
abaylyi,ACIAD3146,ccrescentus,CCNA_02349,0.397
mtuberculosis,Rv3307,styphimurium,xapA,0.4
ccrescentus,CCNA_02390,styphimurium,gph,0.312
mtuberculosis,Rv0534c,styphimurium,menA,0.37
abaylyi,ACIAD3082,styphimurium,soxR,0.518
mgenitalium,MG_045,mpne,MPN058,0.622
mgenitalium,MG_169,syn3a,JCVISYN3A_0653,0.44
mgenitalium,MG_169,saureus,rplO,0.426
abaylyi,ACIAD3200,mgenitalium,MG_169,0.392
mgenitalium,MG_169,styphimurium,rplO,0.393
mgenitalium,MG_231,mpne,MPN324,0.872
mgenitalium,MG_231,syn3a,JCVISYN3A_0771,0.677
mgenitalium,MG_231,mtuberculosis,Rv3051c,0.577
mgenitalium,MG_231,styphimurium,nrdE,0.537
abaylyi,ACIAD0131,ccrescentus,CCNA_02881,0.482
ccrescentus,CCNA_03201,styphimurium,purA,0.502
abaylyi,ACIAD1258,ccrescentus,CCNA_03201,0.516
ccrescentus,CCNA_03201,mtuberculosis,Rv0357c,0.51
ccrescentus,CCNA_03201,saureus,purA,0.451
ccrescentus,CCNA_03522,styphimurium,tldD,0.509
ccrescentus,CCNA_03783,styphimurium,ccmB,0.439
ccrescentus,CCNA_03847,styphimurium,nth,0.582
abaylyi,ACIAD1108,ccrescentus,CCNA_03847,0.542
ccrescentus,CCNA_03847,saureus,nth,0.478
ccrescentus,CCNA_03847,mtuberculosis,Rv3674c,0.374
mtuberculosis,Rv3846,saureus,sodM,0.39
abaylyi,ACIAD2043,ccrescentus,CCNA_03753,0.393
ccrescentus,CCNA_03753,styphimurium,yjeS,0.406
abaylyi,ACIAD3110,saureus,SA0193,0.306
abaylyi,ACIAD1675,styphimurium,STM4270,0.372
saureus,SA2330,styphimurium,STM4270,0.31
abaylyi,ACIAD0510,mpne,MPN607,0.461
abaylyi,ACIAD0510,saureus,SA1257,0.456
abaylyi,ACIAD0510,ccrescentus,CCNA_01046,0.471
abaylyi,ACIAD0510,mgenitalium,MG_408,0.435
abaylyi,ACIAD0510,styphimurium,msrA,0.426
abaylyi,ACIAD0510,mtuberculosis,Rv0137c,0.444
abaylyi,ACIAD2472,styphimurium,STM2372,0.52
abaylyi,ACIAD3201,styphimurium,rpmD,0.666
mtuberculosis,Rv0722,styphimurium,rpmD,0.518
abaylyi,ACIAD0107,styphimurium,lldR,0.502
abaylyi,ACIAD0107,ccrescentus,CCNA_02904,0.331
abaylyi,ACIAD0360,ccrescentus,CCNA_00183,0.343
abaylyi,ACIAD0474,ccrescentus,CCNA_00280,0.378
abaylyi,ACIAD0474,mtuberculosis,Rv3455c,0.308
abaylyi,ACIAD0612,ccrescentus,CCNA_00214,0.311
mtuberculosis,Rv2470,saureus,SA0861,0.38
mtuberculosis,Rv1483,saureus,fabG,0.43
ccrescentus,CCNA_00991,mtuberculosis,Rv0130,0.532
mtuberculosis,Rv0223c,saureus,SA1924,0.426
abaylyi,ACIAD1009,mtuberculosis,Rv0223c,0.377
ccrescentus,CCNA_03208,mtuberculosis,Rv0446c,0.384
abaylyi,ACIAD1631,mtuberculosis,Rv0446c,0.325
mtuberculosis,Rv0721,styphimurium,rpsE,0.598
abaylyi,ACIAD3202,mtuberculosis,Rv0721,0.601
mtuberculosis,Rv0721,saureus,rpsE,0.571
ccrescentus,CCNA_01323,mtuberculosis,Rv0721,0.547
mgenitalium,MG_168,mtuberculosis,Rv0721,0.464
mpne,MPN182,mtuberculosis,Rv0721,0.433
ccrescentus,CCNA_01416,mtuberculosis,Rv0751c,0.488
mtuberculosis,Rv0751c,styphimurium,garR,0.333
mtuberculosis,Rv1412,saureus,ribB,0.411
mtuberculosis,Rv1412,styphimurium,ribE,0.399
abaylyi,ACIAD0010,styphimurium,yadR,0.622
abaylyi,ACIAD0010,mtuberculosis,Rv2204c,0.403
abaylyi,ACIAD0803,ccrescentus,CCNA_00327,0.359
ccrescentus,CCNA_03861,styphimurium,yggS,0.409
ccrescentus,CCNA_03861,mtuberculosis,Rv2148c,0.327
abaylyi,ACIAD0913,ccrescentus,CCNA_03861,0.342
ccrescentus,CCNA_03861,saureus,SA1031,0.336
saureus,SA0204,syn3a,JCVISYN3A_0029,0.31
mtuberculosis,Rv2364c,saureus,bex,0.433
saureus,bex,syn3a,JCVISYN3A_0403,0.405
abaylyi,ACIAD2580,saureus,bex,0.415
saureus,bex,styphimurium,era,0.395
abaylyi,ACIAD0255,styphimurium,yjgQ,0.3
abaylyi,ACIAD0225,styphimurium,dinP,0.515
abaylyi,ACIAD0225,saureus,SA1711,0.412
abaylyi,ACIAD0225,ccrescentus,CCNA_02550,0.394
abaylyi,ACIAD0225,mtuberculosis,Rv3056,0.343
abaylyi,ACIAD1530,ccrescentus,CCNA_02420,0.371
abaylyi,ACIAD1606,saureus,acsA,0.39
abaylyi,ACIAD1915,ccrescentus,CCNA_01301,0.54
abaylyi,ACIAD1915,mtuberculosis,Rv2900c,0.465
mtuberculosis,Rv3914,saureus,trxA,0.574
abaylyi,ACIAD3037,saureus,trxA,0.504
ccrescentus,CCNA_03653,saureus,trxA,0.442
saureus,trxA,syn3a,JCVISYN3A_0065,0.45
saureus,SA2128,styphimurium,yiiM,0.39
ccrescentus,CCNA_03619,mtuberculosis,Rv0198c,0.433
mtuberculosis,Rv0946c,styphimurium,pgi,0.511
ccrescentus,CCNA_00222,styphimurium,pgi,0.449
abaylyi,ACIAD2018,ccrescentus,CCNA_03695,0.719
abaylyi,ACIAD2018,styphimurium,aldB,0.676
abaylyi,ACIAD2018,saureus,aldA,0.431
abaylyi,ACIAD0376,saureus,SA0578,0.387
abaylyi,ACIAD0664,saureus,SA0679,0.337
abaylyi,ACIAD0664,ccrescentus,CCNA_02306,0.303
abaylyi,ACIAD0910,styphimurium,fur,0.592
abaylyi,ACIAD0910,mtuberculosis,Rv2359,0.348
abaylyi,ACIAD0910,saureus,SA1678,0.326
mgenitalium,MG_093,mpne,MPN231,0.7
mpne,MPN231,syn3a,JCVISYN3A_0833,0.335
mpne,MPN231,saureus,rplI,0.4
mgenitalium,MG_239,mpne,MPN332,0.783
mpne,MPN332,syn3a,JCVISYN3A_0394,0.446
mpne,MPN332,styphimurium,lon,0.407
abaylyi,ACIAD1115,mpne,MPN332,0.389
mpne,MPN599,syn3a,JCVISYN3A_0791,0.305
styphimurium,trxC,syn3a,JCVISYN3A_0065,0.395
mtuberculosis,Rv3914,syn3a,JCVISYN3A_0065,0.431
abaylyi,ACIAD3037,syn3a,JCVISYN3A_0065,0.388
ccrescentus,CCNA_03653,syn3a,JCVISYN3A_0065,0.329
abaylyi,ACIAD3104,styphimurium,ilvI,0.612
abaylyi,ACIAD3104,mtuberculosis,Rv3003c,0.452
abaylyi,ACIAD3104,saureus,ilvB,0.436
abaylyi,ACIAD3430,ccrescentus,CCNA_00659,0.393
ccrescentus,CCNA_03740,saureus,cysK,0.535
ccrescentus,CCNA_03740,styphimurium,cysK,0.55
abaylyi,ACIAD2366,ccrescentus,CCNA_03868,0.422
ccrescentus,CCNA_03868,mtuberculosis,Rv3917c,0.379
ccrescentus,CCNA_03868,saureus,SA2498,0.413
saureus,sbnG,styphimurium,garL,0.306
saureus,SA0307,styphimurium,nanE,0.37
saureus,rplD,styphimurium,rplD,0.408
styphimurium,rplD,syn3a,JCVISYN3A_0670,0.367
mpne,MPN166,styphimurium,rplD,0.317
abaylyi,ACIAD0479,styphimurium,asd,0.671
abaylyi,ACIAD1317,styphimurium,gpsA,0.389
ccrescentus,CCNA_00068,styphimurium,gpsA,0.422
ccrescentus,CCNA_03489,saureus,SA0781,0.338
abaylyi,ACIAD2556,saureus,SA0781,0.34
mtuberculosis,Rv2781c,saureus,SA0781,0.331
saureus,fab,styphimurium,fabF,0.518
mtuberculosis,Rv2245,saureus,fab,0.381
mtuberculosis,Rv1338,saureus,murI,0.402
abaylyi,ACIAD3257,saureus,murI,0.366
ccrescentus,CCNA_03817,saureus,murI,0.322
saureus,murI,styphimurium,murI,0.317
abaylyi,ACIAD2875,saureus,odhB,0.454
mtuberculosis,Rv2215,saureus,odhB,0.367
mtuberculosis,Rv2606c,saureus,SA0477,0.606
mtuberculosis,Rv2701c,styphimurium,suhB,0.341
ccrescentus,CCNA_03378,mtuberculosis,Rv2701c,0.368
mtuberculosis,Rv2921c,saureus,SA1078,0.468
ccrescentus,CCNA_03793,mtuberculosis,Rv2921c,0.444
abaylyi,ACIAD3518,ccrescentus,CCNA_00140,0.406
ccrescentus,CCNA_00140,styphimurium,gshB,0.4
ccrescentus,CCNA_01885,mtuberculosis,Rv0769,0.388
ccrescentus,CCNA_01885,saureus,SA2260,0.373
abaylyi,ACIAD0244,ccrescentus,CCNA_02046,0.651
ccrescentus,CCNA_02046,styphimurium,glnB,0.66
saureus,SA2317,styphimurium,yncA,0.438
ccrescentus,CCNA_00984,styphimurium,yncA,0.418
abaylyi,ACIAD2829,styphimurium,ydaO,0.635
abaylyi,ACIAD2069,styphimurium,sfbB,0.486
abaylyi,ACIAD2069,mtuberculosis,Rv3102c,0.408
abaylyi,ACIAD2210,styphimurium,rpmE,0.606
abaylyi,ACIAD2210,ccrescentus,CCNA_03384,0.388
abaylyi,ACIAD2210,syn3a,JCVISYN3A_0137,0.391
abaylyi,ACIAD2210,mpne,MPN360,0.328
abaylyi,ACIAD2210,mgenitalium,MG_257,0.343
abaylyi,ACIAD2284,styphimurium,yggJ,0.411
abaylyi,ACIAD2513,ccrescentus,CCNA_02488,0.641
ccrescentus,CCNA_00144,styphimurium,yggW,0.35
abaylyi,ACIAD0432,ccrescentus,CCNA_00144,0.347
ccrescentus,CCNA_00144,mtuberculosis,Rv2388c,0.352
ccrescentus,CCNA_01692,styphimurium,guaA,0.539
abaylyi,ACIAD0151,ccrescentus,CCNA_01692,0.545
ccrescentus,CCNA_01692,saureus,guaA,0.523
ccrescentus,CCNA_01692,mtuberculosis,Rv3396c,0.52
abaylyi,ACIAD3137,styphimurium,yajQ,0.49
mtuberculosis,Rv0566c,styphimurium,yajQ,0.434
abaylyi,ACIAD2774,styphimurium,entA,0.469
ccrescentus,CCNA_00246,styphimurium,entA,0.311
mgenitalium,MG_104,mpne,MPN243,0.749
mgenitalium,MG_104,syn3a,JCVISYN3A_0775,0.304
mgenitalium,MG_384,mpne,MPN563,0.808
mgenitalium,MG_384,saureus,obg,0.375
mgenitalium,MG_384,syn3a,JCVISYN3A_0377,0.37
mgenitalium,MG_384,mtuberculosis,Rv2440c,0.366
ccrescentus,CCNA_00317,mgenitalium,MG_384,0.426
mtuberculosis,Rv3460c,styphimurium,rpsM,0.572
mgenitalium,MG_175,mtuberculosis,Rv3460c,0.537
mtuberculosis,Rv3460c,syn3a,JCVISYN3A_0647,0.54
abaylyi,ACIAD3197,mtuberculosis,Rv3460c,0.538
ccrescentus,CCNA_00820,mtuberculosis,Rv3556c,0.505
ccrescentus,CCNA_00358,mtuberculosis,Rv3774,0.375
abaylyi,ACIAD0565,styphimurium,engA,0.535
ccrescentus,CCNA_01726,styphimurium,engA,0.402
styphimurium,engA,syn3a,JCVISYN3A_0348,0.364
mgenitalium,MG_329,styphimurium,engA,0.343
mpne,MPN475,styphimurium,engA,0.334
ccrescentus,CCNA_01810,styphimurium,yfjG,0.3
abaylyi,ACIAD2001,styphimurium,eno,0.681
ccrescentus,CCNA_01795,styphimurium,eno,0.584
saureus,eno,styphimurium,eno,0.587
mpne,MPN606,styphimurium,eno,0.55
mgenitalium,MG_407,styphimurium,eno,0.533
ccrescentus,CCNA_02726,mtuberculosis,Rv3525c,0.408
mtuberculosis,Rv3525c,styphimurium,caiE,0.383
mtuberculosis,Rv3684,styphimurium,STM0458,0.618
abaylyi,ACIAD3654,styphimurium,dnaK,0.698
ccrescentus,CCNA_00010,styphimurium,dnaK,0.656
saureus,dnaK,styphimurium,dnaK,0.555
styphimurium,dnaK,syn3a,JCVISYN3A_0542,0.511
mgenitalium,MG_305,styphimurium,dnaK,0.518
abaylyi,ACIAD3088,styphimurium,ygdL,0.467
saureus,SA1455,styphimurium,ygdL,0.379
saureus,SA0760,styphimurium,gcvH,0.528
mtuberculosis,Rv1826,styphimurium,gcvH,0.484
ccrescentus,CCNA_03464,styphimurium,gcvH,0.529
abaylyi,ACIAD3197,styphimurium,rpsM,0.762
styphimurium,rpsM,syn3a,JCVISYN3A_0647,0.543
mgenitalium,MG_175,styphimurium,rpsM,0.534
ccrescentus,CCNA_01335,saureus,SA1655,0.359
ccrescentus,CCNA_01432,saureus,FabH,0.438
ccrescentus,CCNA_01432,styphimurium,fabH,0.433
ccrescentus,CCNA_01432,mtuberculosis,Rv0533c,0.398
ccrescentus,CCNA_01567,mpne,MPN022,0.373
abaylyi,ACIAD3046,styphimurium,rplT,0.813
saureus,rplT,styphimurium,rplT,0.615
mtuberculosis,Rv1643,styphimurium,rplT,0.606
mpne,MPN117,styphimurium,rplT,0.526
styphimurium,rplT,syn3a,JCVISYN3A_0198,0.487
ccrescentus,CCNA_01754,styphimurium,ymgE,0.55
mgenitalium,MG_050,syn3a,JCVISYN3A_0732,0.431
mgenitalium,MG_050,saureus,SA1939,0.45
mgenitalium,MG_111,mpne,MPN250,0.697
mgenitalium,MG_111,syn3a,JCVISYN3A_0445,0.384
mgenitalium,MG_111,saureus,pgi,0.344
saureus,SA2130,styphimurium,ynfA,0.407
mtuberculosis,Rv2639c,styphimurium,ynfA,0.356
mpne,MPN185,syn3a,JCVISYN3A_0651,0.387
mpne,MPN185,saureus,adk,0.316
mpne,MPN185,styphimurium,adk,0.319
mpne,MPN185,mtuberculosis,Rv0733,0.316
abaylyi,ACIAD1105,mpne,MPN185,0.314
mgenitalium,MG_079,mpne,MPN217,0.785
mpne,MPN217,saureus,oppD,0.463
mpne,MPN217,styphimurium,dppD,0.355
mpne,MPN350,saureus,SA1187,0.373
mpne,MPN350,styphimurium,ygiH,0.3
ccrescentus,CCNA_01732,styphimurium,radA,0.477
abaylyi,ACIAD2664,ccrescentus,CCNA_01732,0.466
ccrescentus,CCNA_01732,saureus,radA,0.445
ccrescentus,CCNA_01732,mtuberculosis,Rv3585,0.462
ccrescentus,CCNA_01994,styphimurium,dxr,0.474
abaylyi,ACIAD1376,ccrescentus,CCNA_01994,0.463
ccrescentus,CCNA_01994,mtuberculosis,Rv2870c,0.46
ccrescentus,CCNA_02253,mtuberculosis,Rv2565,0.324
ccrescentus,CCNA_03305,styphimurium,rpsG,0.611
ccrescentus,CCNA_03305,mtuberculosis,Rv0683,0.61
ccrescentus,CCNA_03305,mpne,MPN226,0.554
ccrescentus,CCNA_03592,styphimurium,blc,0.404
abaylyi,ACIAD2568,ccrescentus,CCNA_03592,0.41
ccrescentus,CCNA_03756,styphimurium,yiiP,0.371
abaylyi,ACIAD3121,ccrescentus,CCNA_00872,0.493
abaylyi,ACIAD3193,styphimurium,rplQ,0.709
abaylyi,ACIAD3193,ccrescentus,CCNA_01332,0.619
abaylyi,ACIAD3193,mtuberculosis,Rv3456c,0.495
abaylyi,ACIAD3193,mpne,MPN192,0.356
mgenitalium,MG_457,syn3a,JCVISYN3A_0039,0.506
mpne,MPN671,syn3a,JCVISYN3A_0039,0.557
styphimurium,hflB,syn3a,JCVISYN3A_0039,0.502
ccrescentus,CCNA_03334,syn3a,JCVISYN3A_0039,0.463
abaylyi,ACIAD2853,syn3a,JCVISYN3A_0039,0.43
mtuberculosis,Rv3610c,syn3a,JCVISYN3A_0039,0.458
mpne,MPN562,syn3a,JCVISYN3A_0378,0.464
mgenitalium,MG_383,syn3a,JCVISYN3A_0378,0.488
styphimurium,nadE,syn3a,JCVISYN3A_0378,0.315
saureus,nadE,syn3a,JCVISYN3A_0378,0.314
mgenitalium,MG_161,syn3a,JCVISYN3A_0661,0.54
mpne,MPN175,syn3a,JCVISYN3A_0661,0.54
ccrescentus,CCNA_03595,mtuberculosis,Rv1147,0.348
ccrescentus,CCNA_01010,saureus,hutH,0.42
saureus,hutH,styphimurium,hutH,0.4
abaylyi,ACIAD0574,saureus,hutH,0.347
ccrescentus,CCNA_02555,saureus,hit,0.481
mgenitalium,MG_132,saureus,hit,0.403
mpne,A65_orf144,saureus,hit,0.423
saureus,hit,syn3a,JCVISYN3A_0438,0.392
mtuberculosis,Rv1262c,saureus,hit,0.352
saureus,SA2119,styphimurium,yghA,0.6
mtuberculosis,Rv1928c,saureus,SA2119,0.375
saureus,SA2279,syn3a,JCVISYN3A_0733,0.337
mgenitalium,MG_033,saureus,glpF,0.369
saureus,glpF,styphimurium,glpF,0.373
mpne,MPN043,saureus,glpF,0.333
mtuberculosis,Rv2343c,saureus,dnaG,0.345
abaylyi,ACIAD2899,saureus,dnaG,0.327
ccrescentus,CCNA_03144,saureus,dnaG,0.346
mtuberculosis,Rv2688c,saureus,SA1655,0.33
mtuberculosis,Rv2688c,styphimurium,ccmA,0.352
mgenitalium,MG_290,mtuberculosis,Rv2688c,0.308
ccrescentus,CCNA_01343,styphimurium,rluA,0.406
abaylyi,ACIAD0442,ccrescentus,CCNA_01343,0.355
ccrescentus,CCNA_01343,mpne,MPN292,0.36
ccrescentus,CCNA_01343,mgenitalium,MG_209,0.327
ccrescentus,CCNA_02031,mtuberculosis,Rv3147,0.416
ccrescentus,CCNA_01898,saureus,SA0449,0.388
saureus,SA0449,styphimurium,ycfH,0.362
mtuberculosis,Rv1008,saureus,SA0449,0.337
mgenitalium,MG_009,saureus,SA0449,0.332
abaylyi,ACIAD2450,saureus,SA0769,0.485
saureus,SA0956,styphimurium,mntH,0.366
mtuberculosis,Rv0924c,saureus,SA0956,0.338
ccrescentus,CCNA_03793,saureus,SA1078,0.43
saureus,SA0972,syn3a,JCVISYN3A_0202,0.335
saureus,rluB,syn3a,JCVISYN3A_0329,0.449
mtuberculosis,Rv1711,syn3a,JCVISYN3A_0329,0.336
ccrescentus,CCNA_00230,syn3a,JCVISYN3A_0329,0.327
styphimurium,yciL,syn3a,JCVISYN3A_0329,0.329
saureus,rpsB,syn3a,JCVISYN3A_0540,0.482
styphimurium,rpsB,syn3a,JCVISYN3A_0540,0.484
abaylyi,ACIAD2269,syn3a,JCVISYN3A_0540,0.451
mgenitalium,MG_070,syn3a,JCVISYN3A_0540,0.387
mpne,MPN208,syn3a,JCVISYN3A_0540,0.397
saureus,rpsS,syn3a,JCVISYN3A_0667,0.715
mtuberculosis,Rv0705,syn3a,JCVISYN3A_0667,0.626
abaylyi,ACIAD3215,syn3a,JCVISYN3A_0667,0.604
ccrescentus,CCNA_01310,syn3a,JCVISYN3A_0667,0.62
mgenitalium,MG_155,syn3a,JCVISYN3A_0667,0.638
ccrescentus,CCNA_00614,styphimurium,yfcC,0.438
abaylyi,ACIAD3167,ccrescentus,CCNA_00833,0.357
abaylyi,ACIAD1490,saureus,SA0703,0.319
abaylyi,ACIAD2090,styphimurium,STM2545,0.433
saureus,SA0516,styphimurium,yfhC,0.472
ccrescentus,CCNA_00231,saureus,SA0516,0.463
saureus,SA0643,styphimurium,ydhF,0.445
abaylyi,ACIAD0776,mtuberculosis,Rv0321,0.335
mtuberculosis,Rv3758c,saureus,SA0677,0.443
ccrescentus,CCNA_02322,styphimurium,apaG,0.417
abaylyi,ACIAD2343,styphimurium,STM4042,0.526
saureus,rplK,styphimurium,rplK,0.673
ccrescentus,CCNA_00678,styphimurium,rplK,0.578
mtuberculosis,Rv0640,styphimurium,rplK,0.611
mgenitalium,MG_081,styphimurium,rplK,0.447
styphimurium,rplK,syn3a,JCVISYN3A_0810,0.378
mtuberculosis,Rv3853,styphimurium,menG,0.456
abaylyi,ACIAD1391,mtuberculosis,Rv3853,0.438
abaylyi,ACIAD2366,mtuberculosis,Rv3917c,0.368
mtuberculosis,Rv3917c,saureus,SA2498,0.425
ccrescentus,CCNA_01010,styphimurium,hutH,0.541
abaylyi,ACIAD0574,styphimurium,hutH,0.314
abaylyi,ACIAD0472,styphimurium,infA,0.771
saureus,infA,styphimurium,infA,0.714
mtuberculosis,Rv3462c,styphimurium,infA,0.704
mgenitalium,MG_173,styphimurium,infA,0.455
abaylyi,ACIAD2085,saureus,bsaA,0.572
saureus,bsaA,styphimurium,btuE,0.471
mtuberculosis,Rv2445c,saureus,ndk,0.557
saureus,ndk,styphimurium,ndk,0.463
abaylyi,ACIAD0556,saureus,ndk,0.492
ccrescentus,CCNA_03462,saureus,SA1365,0.497
abaylyi,ACIAD3647,styphimurium,ppiA,0.639
mgenitalium,MG_051,mpne,MPN064,0.674
mpne,MPN064,saureus,pdp,0.402
mpne,MPN064,mtuberculosis,Rv3314c,0.353
mpne,MPN429,syn3a,JCVISYN3A_0606,0.53
mpne,MPN429,saureus,pgk,0.503
mpne,MPN429,styphimurium,pgk,0.393
abaylyi,ACIAD1927,mpne,MPN429,0.383
ccrescentus,CCNA_03359,mpne,MPN429,0.379
mpne,MPN557,syn3a,JCVISYN3A_0885,0.461
mgenitalium,MG_379,syn3a,JCVISYN3A_0885,0.459
styphimurium,gidA,syn3a,JCVISYN3A_0885,0.409
abaylyi,ACIAD2440,syn3a,JCVISYN3A_0885,0.402
ccrescentus,CCNA_03871,syn3a,JCVISYN3A_0885,0.404
abaylyi,ACIAD0890,ccrescentus,CCNA_02964,0.566
ccrescentus,CCNA_02964,styphimurium,trxB,0.537
ccrescentus,CCNA_02964,mtuberculosis,Rv3913,0.498
ccrescentus,CCNA_02964,saureus,trxB,0.433
ccrescentus,CCNA_02964,mgenitalium,MG_102,0.333
ccrescentus,CCNA_03123,mtuberculosis,Rv0081,0.386
abaylyi,ACIAD3497,ccrescentus,CCNA_03123,0.342
saureus,pnpA,styphimurium,pnp,0.499
ccrescentus,CCNA_00033,saureus,pnpA,0.488
abaylyi,ACIAD0402,saureus,pnpA,0.475
mtuberculosis,Rv2783c,saureus,pnpA,0.452
saureus,SA1367,styphimurium,gcvT,0.417
mgenitalium,MG_283,mpne,MPN402,0.654
abaylyi,ACIAD0980,ccrescentus,CCNA_02476,0.675
mgenitalium,MG_097,mpne,MPN235,0.56
mgenitalium,MG_097,styphimurium,ung,0.318
abaylyi,ACIAD2352,mgenitalium,MG_097,0.32
mgenitalium,MG_316,mpne,MPN451,0.614
mgenitalium,MG_443,mpne,MPN657,0.752
mtuberculosis,Rv0753c,styphimurium,STM4421,0.509
abaylyi,ACIAD1604,styphimurium,STM4421,0.459
abaylyi,ACIAD2390,styphimurium,STM1741,0.336
abaylyi,ACIAD3575,styphimurium,glmU,0.561
abaylyi,ACIAD3575,saureus,gcaD,0.422
abaylyi,ACIAD3575,ccrescentus,CCNA_02389,0.411
mpne,MPN336,syn3a,JCVISYN3A_0380,0.31
mgenitalium,MG_404,mpne,MPN603,0.754
mpne,MPN663,syn3a,JCVISYN3A_0615,0.358
ccrescentus,CCNA_03097,mtuberculosis,Rv2298,0.347
ccrescentus,CCNA_03097,saureus,SA0557,0.316
ccrescentus,CCNA_03194,mtuberculosis,Rv1903,0.371
abaylyi,ACIAD2426,styphimurium,cyoB,0.674
abaylyi,ACIAD2426,ccrescentus,CCNA_01850,0.647
abaylyi,ACIAD2426,mtuberculosis,Rv3043c,0.449
abaylyi,ACIAD3245,styphimurium,srmB,0.424
abaylyi,ACIAD3245,ccrescentus,CCNA_01923,0.438
abaylyi,ACIAD3245,mtuberculosis,Rv1253,0.384
abaylyi,ACIAD3245,saureus,SA1885,0.379
abaylyi,ACIAD3245,mgenitalium,MG_425,0.324
mgenitalium,MG_320,mpne,MPN455,0.697
mgenitalium,MG_447,mpne,MPN661,0.681
ccrescentus,CCNA_01326,styphimurium,secY,0.51
abaylyi,ACIAD3199,ccrescentus,CCNA_01326,0.505
ccrescentus,CCNA_01326,saureus,secY,0.363
ccrescentus,CCNA_01326,mpne,MPN184,0.316
ccrescentus,CCNA_01655,saureus,SA0815,0.335
ccrescentus,CCNA_01689,mtuberculosis,Rv3411c,0.63
abaylyi,ACIAD3503,ccrescentus,CCNA_01689,0.584
ccrescentus,CCNA_01689,saureus,guaB,0.521
saureus,ruvA,styphimurium,ruvA,0.392
mtuberculosis,Rv2593c,saureus,ruvA,0.383
abaylyi,ACIAD2933,saureus,SA1672,0.462
saureus,SA1672,styphimurium,yibK,0.45
mgenitalium,MG_346,saureus,SA1672,0.416
saureus,SA1672,syn3a,JCVISYN3A_0548,0.426
abaylyi,ACIAD2934,styphimurium,cysG,0.518
ccrescentus,CCNA_01175,styphimurium,cysG,0.489
saureus,nasF,styphimurium,cysG,0.361
abaylyi,ACIAD0166,mtuberculosis,Rv2332,0.425
abaylyi,ACIAD0747,styphimurium,fpr,0.396
abaylyi,ACIAD0102,ccrescentus,CCNA_02466,0.433
ccrescentus,CCNA_02466,syn3a,JCVISYN3A_0813,0.334
ccrescentus,CCNA_03164,styphimurium,secA,0.512
ccrescentus,CCNA_03164,mtuberculosis,Rv3240c,0.475
ccrescentus,CCNA_03164,saureus,secA,0.418
ccrescentus,CCNA_03164,syn3a,JCVISYN3A_0095,0.382
ccrescentus,CCNA_03164,mpne,MPN210,0.375
ccrescentus,CCNA_03164,mgenitalium,MG_072,0.362
ccrescentus,CCNA_03640,mtuberculosis,Rv1869c,0.421
abaylyi,ACIAD1909,mtuberculosis,Rv1869c,0.349
mtuberculosis,Rv2055c,styphimurium,rpsR,0.518
mtuberculosis,Rv2150c,saureus,ftsZ,0.552
mtuberculosis,Rv2150c,styphimurium,ftsZ,0.531
ccrescentus,CCNA_02623,mtuberculosis,Rv2150c,0.532
mtuberculosis,Rv2150c,syn3a,JCVISYN3A_0522,0.477
ccrescentus,CCNA_00886,mtuberculosis,Rv3709c,0.44
abaylyi,ACIAD2694,styphimurium,STM0272,0.491
mgenitalium,MG_072,mpne,MPN210,0.863
mgenitalium,MG_072,syn3a,JCVISYN3A_0095,0.456
mgenitalium,MG_072,saureus,secA,0.427
mgenitalium,MG_072,styphimurium,secA,0.377
mgenitalium,MG_072,mtuberculosis,Rv3240c,0.381
mgenitalium,MG_505,syn3a,JCVISYN3A_0215,0.344
ccrescentus,CCNA_00048,saureus,metK,0.508
ccrescentus,CCNA_00048,styphimurium,metK,0.514
ccrescentus,CCNA_00048,mpne,MPN060,0.351
ccrescentus,CCNA_00048,mgenitalium,MG_047,0.354
ccrescentus,CCNA_00273,styphimurium,def,0.476
ccrescentus,CCNA_00273,saureus,pdf1,0.353
mtuberculosis,Rv2364c,syn3a,JCVISYN3A_0403,0.354
abaylyi,ACIAD2580,mtuberculosis,Rv2364c,0.362
mtuberculosis,Rv2364c,styphimurium,era,0.327
abaylyi,ACIAD0222,styphimurium,yoaB,0.377
