gene,chrom,tss,essential,loeuf,is_tf,regulon_out,regulators_in,ppi_degree,n_pathways,cpg_promoter,enhancers,n_diseases,lineage_master
MIR302D,chr4,112648071,,,0,0,0,0,0,0,40,0,
MIR302E,chr11,7234765,,,0,0,0,0,0,0,31,0,
MIR302F,chr18,30298909,,,0,0,0,0,0,0,10,0,
MIR3059,chr12,86745149,,,0,0,0,0,0,0,26,0,
MIR3064,chr17,64500839,,,0,0,0,0,0,0,88,0,
MIR3065,chr17,81125876,,,0,0,0,0,0,0,194,0,
MIR3074,chr9,95086094,,,0,0,0,0,0,1,186,0,
MIR3085,chr10,97875897,,,0,0,0,0,0,0,102,0,
MIR30A,chr6,71403621,,,0,0,0,0,0,0,85,0,
MIR30B,chr8,134800607,,,0,0,0,0,0,0,140,0,
MIR30C1,chr1,40757283,,,0,0,0,0,0,0,138,0,
MIR30C2,chr6,71377031,,,0,0,0,0,0,0,99,0,
MIR30D,chr8,134804945,,,0,0,0,0,0,0,136,0,
MIR30E,chr1,40754354,,,0,0,0,0,0,0,137,0,
MIR31,chr9,21512185,,,0,0,0,0,0,0,96,0,
MIR3115,chr1,23044304,,,0,0,0,0,0,0,75,0,
MIR3116-1,chr1,62078785,,,0,0,0,0,0,0,59,0,
MIR3116-2,chr1,62078856,,,0,0,0,0,0,0,59,0,
MIR3117,chr1,66628439,,,0,0,0,0,0,0,54,0,
MIR3118-1,chr21,13644850,,,0,0,0,0,0,0,0,0,
MIR3118-2,chr15,20832794,,,0,0,0,0,0,0,0,0,
MIR3118-3,chr15,20832794,,,0,0,0,0,0,0,0,0,
MIR3118-4,chr15,20832794,,,0,0,0,0,0,0,0,0,
MIR3119-1,chr1,170151462,,,0,0,0,0,0,0,34,0,
MIR3119-2,chr1,170151377,,,0,0,0,0,0,0,34,0,
MIR3120,chr1,172138807,,,0,0,0,0,0,0,99,0,
MIR3121,chr1,180438390,,,0,0,0,0,0,0,21,0,
MIR3122,chr1,212077612,,,0,0,0,0,0,0,89,0,
MIR3123,chr1,241132271,,,0,0,0,0,0,0,36,0,
MIR3124,chr1,248826376,,,0,0,0,0,0,1,130,0,
MIR3125,chr2,12737366,,,0,0,0,0,0,0,104,0,
MIR3126,chr2,69103681,,,0,0,0,0,0,0,105,0,
MIR3127,chr2,96798277,,,0,0,0,0,0,0,132,0,
MIR3128,chr2,177256010,,,0,0,0,0,0,0,141,0,
MIR3129,chr2,189133111,,,0,0,0,0,0,0,86,0,
MIR3130-1,chr2,206783308,,,0,0,0,0,0,0,46,0,
MIR3130-2,chr2,206783233,,,0,0,0,0,0,0,46,0,
MIR3131,chr2,219058750,,,0,0,0,0,0,0,70,0,
MIR3132,chr2,219549147,,,0,0,0,0,0,0,159,0,
MIR3133,chr2,241477904,,,0,0,0,0,0,0,93,0,
MIR3134,chr3,15697371,,,0,0,0,0,0,0,81,0,
MIR3135A,chr3,20137564,,,0,0,0,0,0,0,73,0,
MIR3135B,chr6,32749979,,,0,0,0,0,0,0,26,0,
MIR3136,chr3,69049035,,,0,0,0,0,0,0,86,0,
MIR3137,chr3,195134580,,,0,0,0,0,0,0,180,0,
MIR3138,chr4,10078692,,,0,0,0,0,0,1,170,0,
MIR3139,chr4,143343459,,,0,0,0,0,0,0,107,0,
MIR3140,chr4,152489416,,,0,0,0,0,0,0,71,0,
MIR3141,chr5,154596072,,,0,0,0,0,0,0,60,0,
MIR3142,chr5,160474401,,,0,0,0,0,0,0,149,0,
MIR3142HG,chr5,160468250,,,0,0,0,0,0,0,159,0,
MIR3143,chr6,27147625,,,0,0,0,0,0,0,97,0,
MIR3144,chr6,120015178,,,0,0,0,0,0,0,12,0,
MIR3145,chr6,138435294,,,0,0,0,0,0,0,95,0,
MIR3146,chr7,19705436,,,0,0,0,0,0,0,33,0,
MIR3147,chr7,57405024,,,0,0,0,0,0,1,11,0,
MIR3148,chr8,29957348,,,0,0,0,0,0,0,79,0,
MIR3149,chr8,76966850,,,0,0,0,0,0,0,49,0,
MIR3150A,chr8,95072913,,,0,0,0,0,0,1,109,0,
MIR3150B,chr8,95072996,,,0,0,0,0,0,1,109,0,
MIR3150BHG,chr8,95073182,,,0,0,0,0,0,1,109,0,
MIR3151,chr8,103154613,,,0,0,0,0,0,0,86,0,
MIR3152,chr9,18573305,,,0,0,0,0,0,0,54,0,
MIR3153,chr9,89312224,,,0,0,0,0,0,0,86,0,
MIR3154,chr9,128245030,,,0,0,0,0,0,0,134,0,
MIR3155A,chr10,6152195,,,0,0,0,0,0,0,154,0,
MIR3155B,chr10,6152262,,,0,0,0,0,0,0,154,0,
MIR3156-1,chr10,45164013,,,0,0,0,0,0,0,18,0,
MIR3156-2,chr18,14830165,,,0,0,0,0,0,0,18,0,
MIR3156-3,chr21,13406460,,,0,0,0,0,0,0,1,0,
MIR3157,chr10,96064399,,,0,0,0,0,0,0,46,0,
MIR3158-1,chr10,101601416,,,0,0,0,0,0,0,119,0,
MIR3158-2,chr10,101601497,,,0,0,0,0,0,0,119,0,
MIR3159,chr11,18387786,,,0,0,0,0,0,0,69,0,
MIR3160-1,chr11,46451889,,,0,0,0,0,0,0,101,0,
MIR3160-2,chr11,46451806,,,0,0,0,0,0,0,101,0,
MIR3161,chr11,48096781,,,0,0,0,0,0,0,131,0,
MIR3162,chr11,59595158,,,0,0,0,0,0,0,94,0,
MIR3163,chr11,66934506,,,0,0,0,0,0,0,137,0,
MIR3164,chr11,69083175,,,0,0,0,0,0,1,193,0,
MIR3165,chr11,72072302,,,0,0,0,0,0,0,105,0,
MIR3166,chr11,88176501,,,0,0,0,0,0,0,49,0,
MIR3167,chr11,126988542,,,0,0,0,0,0,0,79,0,
MIR3168,chr13,41101100,,,0,0,0,0,0,0,65,0,
MIR3169,chr13,61199880,,,0,0,0,0,0,0,13,0,
MIR3170,chr13,98208523,,,0,0,0,0,0,0,122,0,
MIR3171,chr14,27633278,,,0,0,0,0,0,0,16,0,
MIR3173,chr14,95137986,,,0,0,0,0,0,0,96,0,
MIR3174,chr15,90006754,,,0,0,0,0,0,0,125,0,
MIR3175,chr15,92904398,,,0,0,0,0,0,1,147,0,
MIR3176,chr16,543276,,,0,0,0,0,0,1,182,0,
MIR3177,chr16,1734984,,,0,0,0,0,0,0,182,0,
MIR3178,chr16,2532005,,,0,0,0,0,0,1,132,0,
MIR3179-1,chr16,14901507,,,0,0,0,0,0,0,14,0,
MIR3179-2,chr16,14901507,,,0,0,0,0,0,0,14,0,
MIR3179-3,chr16,14901507,,,0,0,0,0,0,0,14,0,
MIR3179-4,chr16,14901507,,,0,0,0,0,0,0,14,0,
MIR3180-1,chr16,14911219,,,0,0,0,0,0,1,23,0,
MIR3180-2,chr16,14911223,,,0,0,0,0,0,1,23,0,
MIR3180-3,chr16,14911219,,,0,0,0,0,0,1,23,0,
MIR3180-4,chr16,15155002,,,0,0,0,0,0,1,31,0,
MIR3180-5,chr16,2136129,,,0,0,0,0,0,1,192,0,
MIR3181,chr16,50742304,,,0,0,0,0,0,1,99,0,
MIR3182,chr16,83508345,,,0,0,0,0,0,0,24,0,
MIR3183,chr17,1022559,,,0,0,0,0,0,1,159,0,
MIR3184,chr17,30117160,,,0,0,0,0,0,1,47,0,
MIR3185,chr17,48724475,,,0,0,0,0,0,1,88,0,
MIR3186,chr17,81451188,,,0,0,0,0,0,0,206,0,
MIR3187,chr19,813583,,,0,0,0,0,0,0,160,0,
MIR3188,chr19,18282076,,,0,0,0,0,0,0,177,0,
MIR3189,chr19,18386561,,,0,0,0,0,0,1,189,0,
MIR3190,chr19,47226941,,,0,0,0,0,0,1,144,0,
MIR3191,chr19,47227019,,,0,0,0,0,0,1,144,0,
MIR3192,chr20,18470614,,,0,0,0,0,0,0,33,0,
MIR3193,chr20,31607185,,,0,0,0,0,0,0,126,0,
MIR3194,chr20,51452977,,,0,0,0,0,0,0,173,0,
MIR3195,chr20,62064801,,,0,0,0,0,0,1,115,0,
MIR3196,chr20,63238778,,,0,0,0,0,0,1,152,0,
MIR3197,chr21,41167556,,,0,0,0,0,0,1,117,0,
MIR3198-1,chr22,17764259,,,0,0,0,0,0,0,148,0,
MIR3198-2,chr12,54231476,,,0,0,0,0,0,0,110,0,
MIR3199-1,chr22,27920612,,,0,0,0,0,0,0,81,0,
MIR3199-2,chr22,27920525,,,0,0,0,0,0,0,81,0,
MIR31HG,chr9,21559798,,,0,0,0,0,0,1,139,0,
MIR32,chr9,109046298,,,0,0,0,0,0,0,106,0,
MIR3200,chr22,30731556,,,0,0,0,0,0,0,77,0,
MIR3201,chr22,48274363,,,0,0,0,0,0,0,76,0,
MIR3202-1,chrX,153981096,,,0,0,0,0,0,0,162,0,
MIR3202-2,chrX,153981176,,,0,0,0,0,0,1,163,0,
MIR320A,chr8,22245037,,,0,0,0,0,0,1,131,0,
MIR320B1,chr1,116671745,,,0,0,0,0,0,0,130,0,
MIR320B2,chr1,224257110,,,0,0,0,0,0,0,79,0,
MIR320C1,chr18,21683517,,,0,0,0,0,0,0,66,0,
MIR320C2,chr18,24321674,,,0,0,0,0,0,0,40,0,
MIR320D1,chr13,40727887,,,0,0,0,0,0,0,60,0,
MIR320D2,chrX,140926231,,,0,0,0,0,0,0,21,0,
MIR320E,chr19,46709354,,,0,0,0,0,0,0,133,0,
MIR323A,chr14,101025731,,,0,0,0,0,0,0,79,0,
MIR323B,chr14,101056218,,,0,0,0,0,0,0,73,0,
MIR324,chr17,7223379,,,0,0,0,0,0,0,167,0,
MIR325,chrX,77005501,,,0,0,0,0,0,0,25,0,
MIR325HG,chrX,77014532,,,0,0,0,0,0,0,26,0,
MIR326,chr11,75335186,,,0,0,0,0,0,0,148,0,
MIR328,chr16,67202395,,,0,0,0,0,0,0,181,0,
MIR329-1,chr14,101026784,,,0,0,0,0,0,0,80,0,
MIR329-2,chr14,101027099,,,0,0,0,0,0,0,81,0,
MIR330,chr19,45639087,,,0,0,0,0,0,0,104,0,
MIR331,chr12,95308419,,,0,0,0,0,0,0,80,0,
MIR335,chr7,130496110,,,0,0,0,0,0,0,65,0,
MIR337,chr14,100874492,,,0,0,0,0,0,0,145,0,
MIR338,chr17,81125949,,,0,0,0,0,0,0,194,0,
MIR339,chr7,1023026,,,0,0,0,0,0,1,189,0,
MIR33A,chr22,41900943,,,0,0,0,0,0,0,160,0,
MIR33B,chr17,17813931,,,0,0,0,0,0,0,211,0,
MIR340,chr5,180015397,,,0,0,0,0,0,0,88,0,
MIR342,chr14,100109654,,,0,0,0,0,0,0,188,0,
MIR345,chr14,100307858,,,0,0,0,0,0,0,162,0,
MIR346,chr10,86264788,,,0,0,0,0,0,0,99,0,
MIR34A,chr1,9151777,,,0,0,0,0,0,0,125,0,
MIR34AHG,chr1,9182338,,,0,0,0,0,0,1,102,0,
MIR34B,chr11,111512937,,,0,0,0,0,0,1,63,0,
MIR34C,chr11,111513438,,,0,0,0,0,0,1,64,0,
MIR3529,chr15,88611924,,,0,0,0,0,0,0,133,0,
MIR3591,chr18,58451152,,,0,0,0,0,0,0,101,0,
MIR3605,chr1,33332492,,,0,0,0,0,0,0,144,0,
MIR3606,chr2,188995629,,,0,0,0,0,0,0,95,0,
MIR3609,chr7,98881649,,,0,0,0,0,0,0,70,0,
MIR361,chrX,85903707,,,0,0,0,0,0,0,22,0,
MIR3610,chr8,116874800,,,0,0,0,0,0,1,83,0,
MIR3611,chr10,35079680,,,0,0,0,0,0,0,49,0,
MIR3612,chr12,128294091,,,0,0,0,0,0,0,62,0,
MIR3613,chr13,49996501,,,0,0,0,0,0,1,60,0,
MIR3614,chr17,56891355,,,0,0,0,0,0,0,98,0,
MIR3615,chr17,74748612,,,0,0,0,0,0,1,161,0,
MIR3616,chr20,47166966,,,0,0,0,0,0,0,110,0,
MIR3617,chr20,45705180,,,0,0,0,0,0,0,13,0,
MIR3618,chr22,20085745,,,0,0,0,0,0,1,185,0,
MIR3619,chr22,46091043,,,0,0,0,0,0,0,250,0,
MIR362,chrX,50008963,,,0,0,0,0,0,0,42,0,
MIR3620,chr1,228097262,,,0,0,0,0,0,0,136,0,
MIR3621,chr9,137169270,,,0,0,0,0,0,0,177,0,
MIR3622A,chr8,27701676,,,0,0,0,0,0,0,101,0,
MIR3622B,chr8,27701767,,,0,0,0,0,0,0,101,0,
MIR363,chrX,134169452,,,0,0,0,0,0,0,42,0,
MIR3646,chr20,44408119,,,0,0,0,0,0,0,118,0,
MIR3648-1,chr21,8208472,,,0,0,0,0,0,0,2,0,
MIR3648-2,chr21,8208472,,,0,0,0,0,0,0,2,0,
MIR3649,chr12,1660380,,,0,0,0,0,0,0,117,0,
MIR3650,chr5,38557561,,,0,0,0,0,0,0,88,0,
MIR3651,chr9,92292547,,,0,0,0,0,0,1,70,0,
MIR3652,chr12,103930424,,,0,0,0,0,0,0,102,0,
MIR3654,chr11,62560306,,,0,0,0,0,0,0,180,0,
MIR3655,chr5,140647843,,,0,0,0,0,0,1,77,0,
MIR3657,chr12,112037715,,,0,0,0,0,0,0,70,0,
MIR3658,chr1,165907920,,,0,0,0,0,0,0,94,0,
MIR3659,chr1,38089230,,,0,0,0,0,0,0,130,0,
MIR3659HG,chr1,38047133,,,0,0,0,0,0,0,153,0,
MIR365A,chr16,14309284,,,0,0,0,0,0,0,109,0,
MIR365B,chr17,31575410,,,0,0,0,0,0,0,132,0,
MIR3660,chr5,90016720,,,0,0,0,0,0,0,47,0,
MIR3661,chr5,134225756,,,0,0,0,0,0,1,74,0,
MIR3662,chr6,134979432,,,0,0,0,0,0,0,63,0,
MIR3663,chr10,117167774,,,0,0,0,0,0,1,84,0,
MIR3663HG,chr10,117169055,,,0,0,0,0,0,0,84,0,
MIR3664,chr11,70872368,,,0,0,0,0,0,0,87,0,
MIR3665,chr13,77698116,,,0,0,0,0,0,1,59,0,
MIR3666,chr7,114653344,,,0,0,0,0,0,0,42,0,
MIR3667,chr22,49543466,,,0,0,0,0,0,0,96,0,
MIR3668,chr6,140205251,,,0,0,0,0,0,0,37,0,
MIR367,chr4,112647941,,,0,0,0,0,0,0,40,0,
MIR3670-1,chr16,18488365,,,0,0,0,0,0,0,4,0,
MIR3670-2,chr16,14907716,,,0,0,0,0,0,0,17,0,
MIR3670-3,chr16,14907716,,,0,0,0,0,0,0,17,0,
MIR3670-4,chr16,14907716,,,0,0,0,0,0,0,17,0,
MIR3671,chr1,65057842,,,0,0,0,0,0,0,69,0,
MIR3672,chrX,121370971,,,0,0,0,0,0,0,24,0,
MIR3674,chr8,1801124,,,0,0,0,0,0,0,158,0,
MIR3675,chr1,16548913,,,0,0,0,0,0,0,43,0,
MIR3677,chr16,2270712,,,0,0,0,0,0,0,128,0,
MIR3678,chr17,75406068,,,0,0,0,0,0,1,121,0,
MIR3679,chr2,134127124,,,0,0,0,0,0,0,131,0,
MIR3680-1,chr16,29599265,,,0,0,0,0,0,0,81,0,
MIR3680-2,chr16,21506135,,,0,0,0,0,0,0,95,0,
MIR3681,chr2,12199129,,,0,0,0,0,0,0,63,0,
MIR3681HG,chr2,12007115,,,0,0,0,0,0,0,84,0,
MIR3682,chr2,53849205,,,0,0,0,0,0,0,58,0,
MIR3683,chr7,7067045,,,0,0,0,0,0,0,39,0,
MIR3684,chr4,98997386,,,0,0,0,0,0,0,57,0,
MIR3685,chr12,95309922,,,0,0,0,0,0,0,81,0,
MIR3686,chr8,129484142,,,0,0,0,0,0,0,99,0,
MIR3688-1,chr4,159128894,,,0,0,0,0,0,0,117,0,
MIR3688-2,chr4,159128804,,,0,0,0,0,0,0,116,0,
MIR3689A,chr9,134850644,,,0,0,0,0,0,0,138,0,
MIR3689B,chr9,134850272,,,0,0,0,0,0,0,138,0,
MIR3689C,chr9,134849369,,,0,0,0,0,0,0,139,0,
MIR3689D1,chr9,134849682,,,0,0,0,0,0,0,139,0,
MIR3689D2,chr9,134850356,,,0,0,0,0,0,0,138,0,
MIR3689E,chr9,134850641,,,0,0,0,0,0,0,138,0,
MIR3689F,chr9,134850807,,,0,0,0,0,0,0,139,0,
MIR369,chr14,101065597,,,0,0,0,0,0,1,76,0,
MIR3690,chrX,1293917,,,0,0,0,0,0,1,92,0,
MIR3691,chr6,5148322,,,0,0,0,0,0,0,106,0,
MIR3692,chr6,157529131,,,0,0,0,0,0,0,127,0,
MIR370,chr14,100911138,,,0,0,0,0,0,0,84,0,
MIR3713,chr15,76586646,,,0,0,0,0,0,0,29,0,
MIR3714,chr3,16933195,,,0,0,0,0,0,0,115,0,
MIR371A,chr19,53787674,,,0,0,0,0,0,0,50,0,
MIR371B,chr19,53787742,,,0,0,0,0,0,0,50,0,
MIR372,chr19,53787889,,,0,0,0,0,0,0,50,0,
MIR373,chr19,53788704,,,0,0,0,0,0,0,51,0,
MIR374A,chrX,74287357,,,0,0,0,0,0,0,48,0,
MIR374B,chrX,74218618,,,0,0,0,0,0,0,46,0,
MIR374C,chrX,74218548,,,0,0,0,0,0,0,46,0,
MIR375,chr2,219001708,,,0,0,0,0,0,1,99,0,
MIR376A1,chr14,101040781,,,0,0,0,0,0,0,73,0,
MIR376A2,chr14,101040068,,,0,0,0,0,0,0,73,0,
MIR376B,chr14,101040435,,,0,0,0,0,0,0,73,0,
MIR376C,chr14,101039689,,,0,0,0,0,0,0,74,0,
MIR377,chr14,101062049,,,0,0,0,0,0,0,71,0,
MIR378A,chr5,149732824,,,0,0,0,0,0,0,120,0,
MIR378B,chr3,10330228,,,0,0,0,0,0,0,141,0,
MIR378C,chr10,130962668,,,0,0,0,0,0,0,48,0,
MIR378D1,chr4,5923328,,,0,0,0,0,0,0,103,0,
MIR378D2,chr8,93916119,,,0,0,0,0,0,1,131,0,
MIR378E,chr5,170028487,,,0,0,0,0,0,0,55,0,
MIR378F,chr1,23929069,,,0,0,0,0,0,0,112,0,
MIR378G,chr1,94745900,,,0,0,0,0,0,0,95,0,
MIR378H,chr5,154829457,,,0,0,0,0,0,0,110,0,
MIR378I,chr22,41923297,,,0,0,0,0,0,0,158,0,
MIR378J,chr17,37615039,,,0,0,0,0,0,0,43,0,
MIR379,chr14,101022065,,,0,0,0,0,0,0,74,0,
MIR380,chr14,101025016,,,0,0,0,0,0,0,78,0,
MIR381,chr14,101045919,,,0,0,0,0,0,0,72,0,
MIR381HG,chr14,101045156,,,0,0,0,0,0,0,71,0,
MIR382,chr14,101054305,,,0,0,0,0,0,0,76,0,
MIR383,chr8,14853510,,,0,0,0,0,0,0,6,0,
MIR384,chrX,76919360,,,0,0,0,0,0,0,7,0,
MIR3907,chr7,151433639,,,0,0,0,0,0,0,174,0,
MIR3908,chr12,123536408,,,0,0,0,0,0,0,78,0,
MIR3909,chr22,35335639,,,0,0,0,0,0,0,163,0,
MIR3910-1,chr9,91636250,,,0,0,0,0,0,0,39,0,
MIR3910-2,chr9,91636345,,,0,0,0,0,0,0,39,0,
MIR3911,chr9,127690795,,,0,0,0,0,0,0,140,0,
MIR3912,chr5,171386760,,,0,0,0,0,0,1,110,0,
MIR3913-1,chr12,69584823,,,0,0,0,0,0,1,66,0,
MIR3913-2,chr12,69584722,,,0,0,0,0,0,1,66,0,
MIR3914-1,chr7,71307770,,,0,0,0,0,0,0,71,0,
MIR3914-2,chr7,71307673,,,0,0,0,0,0,0,71,0,
MIR3915,chrX,32583752,,,0,0,0,0,0,0,12,0,
MIR3916,chr1,247202060,,,0,0,0,0,0,0,37,0,
MIR3917,chr1,25906454,,,0,0,0,0,0,1,137,0,
MIR3918,chr6,158764753,,,0,0,0,0,0,0,201,0,
MIR3919,chr3,159282645,,,0,0,0,0,0,0,24,0,
MIR3920,chr11,101519905,,,0,0,0,0,0,0,36,0,
MIR3921,chr3,99964398,,,0,0,0,0,0,0,108,0,
MIR3922,chr12,104591632,,,0,0,0,0,0,0,135,0,
MIR3923,chr3,79507886,,,0,0,0,0,0,0,32,0,
MIR3924,chr10,57304559,,,0,0,0,0,0,0,12,0,
MIR3925,chr6,36622512,,,0,0,0,0,0,0,163,0,
MIR3926-1,chr8,12727304,,,0,0,0,0,0,0,63,0,
MIR3926-2,chr8,12727236,,,0,0,0,0,0,0,63,0,
MIR3927,chr9,109511545,,,0,0,0,0,0,0,113,0,
MIR3928,chr22,31160119,,,0,0,0,0,0,1,111,0,
MIR3929,chr18,35934142,,,0,0,0,0,0,0,46,0,
MIR3934,chr6,33698127,,,0,0,0,0,0,0,180,0,
MIR3935,chr16,56245519,,,0,0,0,0,0,0,128,0,
MIR3936,chr5,132365599,,,0,0,0,0,0,0,118,0,
MIR3936HG,chr5,132369916,,,0,0,0,0,0,1,122,0,
MIR3937,chrX,39661215,,,0,0,0,0,0,0,76,0,
MIR3938,chr3,55852594,,,0,0,0,0,0,0,62,0,
MIR3939,chr6,166997912,,,0,0,0,0,0,1,87,0,
MIR3940,chr19,6416511,,,0,0,0,0,0,0,89,0,
MIR3941,chr10,122416964,,,0,0,0,0,0,0,105,0,
MIR3942,chr15,35372364,,,0,0,0,0,0,0,19,0,
MIR3943,chr7,43150894,,,0,0,0,0,0,0,62,0,
MIR3944,chr10,133371663,,,0,0,0,0,0,0,145,0,
MIR3945,chr4,184851110,,,0,0,0,0,0,0,110,0,
MIR3945HG,chr4,184855652,,,0,0,0,0,0,0,103,0,
MIR3960,chr9,127785832,,,0,0,0,0,0,1,171,0,
MIR3972,chr1,17277888,,,0,0,0,0,0,0,104,0,
MIR3973,chr11,36010097,,,0,0,0,0,0,0,115,0,
MIR3974,chr12,17673298,,,0,0,0,0,0,0,5,0,
MIR3975,chr18,35591736,,,0,0,0,0,0,0,78,0,
MIR3976,chr18,5840694,,,0,0,0,0,0,0,9,0,
MIR3976HG,chr18,5748818,,,0,0,0,0,0,0,25,0,
MIR3977,chr5,82840154,,,0,0,0,0,0,0,69,0,
MIR3978,chrX,110082117,,,0,0,0,0,0,0,71,0,
MIR409,chr14,101065299,,,0,0,0,0,0,1,75,0,
MIR410,chr14,101065911,,,0,0,0,0,0,1,76,0,
MIR411,chr14,101023324,,,0,0,0,0,0,0,74,0,
MIR412,chr14,101065446,,,0,0,0,0,0,1,76,0,
MIR421,chrX,74218461,,,0,0,0,0,0,0,46,0,
MIR422A,chr15,63871019,,,0,0,0,0,0,0,123,0,
MIR423,chr17,30117078,,,0,0,0,0,0,1,47,0,
MIR424,chrX,134546711,,,0,0,0,0,0,1,77,0,
MIR425,chr3,49020234,,,0,0,0,0,0,1,105,0,
MIR4251,chr1,3127974,,,0,0,0,0,0,0,165,0,
MIR4252,chr1,6429896,,,0,0,0,0,0,0,157,0,
MIR4253,chr1,22863226,,,0,0,0,0,0,0,112,0,
MIR4254,chr1,31758735,,,0,0,0,0,0,0,181,0,
MIR4255,chr1,37161562,,,0,0,0,0,0,0,56,0,
MIR4256,chr1,112461833,,,0,0,0,0,0,0,91,0,
MIR4257,chr1,150551928,,,0,0,0,0,0,0,155,0,
MIR4258,chr1,154975692,,,0,0,0,0,0,0,188,0,
MIR4259,chr1,159900079,,,0,0,0,0,0,1,148,0,
MIR4260,chr1,209623510,,,0,0,0,0,0,0,158,0,
MIR4261,chr2,10192671,,,0,0,0,0,0,0,122,0,
MIR4262,chr2,11836986,,,0,0,0,0,0,0,93,0,
MIR4263,chr2,27996366,,,0,0,0,0,0,0,70,0,
MIR4264,chr2,79649359,,,0,0,0,0,0,0,36,0,
MIR4265,chr2,109141588,,,0,0,0,0,0,0,98,0,
MIR4266,chr2,109313625,,,0,0,0,0,0,0,129,0,
MIR4267,chr2,110070042,,,0,0,0,0,0,0,40,0,
MIR4268,chr2,219906565,,,0,0,0,0,0,0,49,0,
MIR4269,chr2,239305461,,,0,0,0,0,0,0,215,0,
MIR4270,chr3,15496308,,,0,0,0,0,0,0,105,0,
MIR4271,chr3,49274119,,,0,0,0,0,0,0,72,0,
MIR4272,chr3,67225463,,,0,0,0,0,0,0,13,0,
MIR4273,chr3,75738279,,,0,0,0,0,0,0,10,0,
MIR4274,chr4,7460027,,,0,0,0,0,0,0,112,0,
MIR4275,chr4,28819581,,,0,0,0,0,0,0,19,0,
MIR4276,chr4,174423794,,,0,0,0,0,0,0,75,0,
MIR4277,chr5,1708868,,,0,0,0,0,0,0,43,0,
MIR4278,chr5,6827921,,,0,0,0,0,0,0,67,0,
MIR4279,chr5,31936159,,,0,0,0,0,0,0,95,0,
MIR4280,chr5,87114954,,,0,0,0,0,0,0,84,0,
MIR4281,chr5,176629500,,,0,0,0,0,0,1,128,0,
MIR4282,chr6,72967753,,,0,0,0,0,0,0,55,0,
MIR4283-1,chr7,56955864,,,0,0,0,0,0,0,2,0,
MIR4283-2,chr7,56955864,,,0,0,0,0,0,0,2,0,
MIR4284,chr7,73711316,,,0,0,0,0,0,0,122,0,
MIR4285,chr7,102293102,,,0,0,0,0,0,1,142,0,
MIR4286,chr8,10666977,,,0,0,0,0,0,0,93,0,
MIR4287,chr8,27886116,,,0,0,0,0,0,0,95,0,
MIR4288,chr8,28505182,,,0,0,0,0,0,0,61,0,
MIR4289,chr9,88745905,,,0,0,0,0,0,0,97,0,
MIR429,chr1,1169004,,,0,0,0,0,0,0,202,0,
MIR4290,chr9,90023535,,,0,0,0,0,0,0,94,0,
MIR4290HG,chr9,90041499,,,0,0,0,0,0,0,94,0,
MIR4291,chr9,93819356,,,0,0,0,0,0,0,26,0,
MIR4292,chr9,136830956,,,0,0,0,0,0,1,196,0,
MIR4293,chr10,14383277,,,0,0,0,0,0,0,84,0,
MIR4294,chr10,48985587,,,0,0,0,0,0,0,43,0,
MIR4295,chr10,112634169,,,0,0,0,0,0,0,83,0,
MIR4296,chr10,125032870,,,0,0,0,0,0,0,199,0,
MIR4297,chr10,129843374,,,0,0,0,0,0,0,111,0,
MIR4298,chr11,1859536,,,0,0,0,0,0,0,197,0,
MIR4299,chr11,11656722,,,0,0,0,0,0,0,61,0,
MIR4300,chr11,81890836,,,0,0,0,0,0,0,25,0,
MIR4300HG,chr11,82403913,,,0,0,0,0,0,0,10,0,
MIR4301,chr11,113450088,,,0,0,0,0,0,0,62,0,
MIR4302,chr12,25874079,,,0,0,0,0,0,0,53,0,
MIR4303,chr12,97995448,,,0,0,0,0,0,0,25,0,
MIR4304,chr12,123010728,,,0,0,0,0,0,0,163,0,
MIR4305,chr13,39664135,,,0,0,0,0,0,0,35,0,
MIR4306,chr13,99643058,,,0,0,0,0,0,0,104,0,
MIR4307,chr14,26908641,,,0,0,0,0,0,0,37,0,
MIR4307HG,chr14,26873132,,,0,0,0,0,0,0,44,0,
MIR4308,chr14,54878193,,,0,0,0,0,0,0,84,0,
MIR4309,chr14,102539643,,,0,0,0,0,0,0,163,0,
MIR431,chr14,100881006,,,0,0,0,0,0,0,134,0,
MIR4310,chr15,41866551,,,0,0,0,0,0,0,163,0,
MIR4311,chr15,66040232,,,0,0,0,0,0,1,73,0,
MIR4312,chr15,68801925,,,0,0,0,0,0,0,121,0,
MIR4313,chr15,75762315,,,0,0,0,0,0,0,88,0,
MIR4314,chr17,8088055,,,0,0,0,0,0,0,120,0,
MIR4315-1,chr17,45475435,,,0,0,0,0,0,0,73,0,
MIR4315-2,chr17,45475435,,,0,0,0,0,0,0,73,0,
MIR4316,chr17,77397054,,,0,0,0,0,0,0,203,0,
MIR4317,chr18,6374425,,,0,0,0,0,0,0,52,0,
MIR4318,chr18,37657134,,,0,0,0,0,0,0,31,0,
MIR4319,chr18,44970166,,,0,0,0,0,0,0,88,0,
MIR432,chr14,100884482,,,0,0,0,0,0,0,130,0,
MIR4320,chr18,50126563,,,0,0,0,0,0,0,80,0,
MIR4321,chr19,2250638,,,0,0,0,0,0,1,206,0,
MIR4322,chr19,10230412,,,0,0,0,0,0,1,138,0,
MIR4323,chr19,42133513,,,0,0,0,0,0,1,131,0,
MIR4324,chr19,49308868,,,0,0,0,0,0,0,73,0,
